Timestamp,Review,Sentiment
2025-07-22 02:48:20,"relaxing honeymoon just returned week palace macau honeymoon 6 13 october, little worried left latest reviews not great didnt need be.flight long not used long haul sitting hour plane manchester airport 9 hours hard going, no problems getting hotel reception efficient bags taken rooms, rooms- room did musty smell not bad cause concern room big stocked fridge.food excellent, just choice buffet fresh delicious, tried steak house night ok missed choice buffet, men make sure wear long trousers not smart 3/4 pants allowed.staff waiters restaurant fantastic speak little english speak little spanish fine, waiter pool beach great got sunbed just brought drinks, beach lovely quite windy, nicer sitting pool no breeze got hot, weather better mornings suggest early beach 8.30am sun gone 4ish, dont pay prices caribean street haggling, bought small picture 15 knocking saw picture punta cana airport 10, walk beach market stalls/shops care not difficult say no, men not no answer not let walk past looking shops follow round picking look, hard work picked bargains low prices sales, went trip speed boat trip, fantastic staff brilliant really looked, fast individual speed boats dont damaged water, snorkle raft swim amazing fish, recorded bought dvd 35 thought quite expensive watched home worth money.entertainment ok live singer awful just laughed trying sing elvis spanish accent hysterical, problem smoke smoke boeme bar room stinks no considerant non smokers, tried sit outside patio away it.all great relaxing honeymoon didnt apart chill eat swim, love good food place come,  ",1
2025-07-22 02:48:20,"stay away, worst resort, stayed 11 days 11 days long, 8, got food poisoning staff rude, resort dirty food bad peope unaccomadating service none, stay, spend money sick treated like poop,  ",0
2025-07-22 02:48:20,"just not right hotel, group 10 adults came 18th june 3rd july impressions great, stayed club section welcomed bell boys helpfull got drink, weather boiling 2 weeks got burnt, used high factors didnt expect rooms block 7 called refurbished ones, impressions great, flatscreen tv huge room nice bathroom start notice things dont like spilt bit make-up bed night end 1st week obvu=iously dont clean wardrobe door broken maids nothinf got, people group paid saftry deposit boxes didnt work refund reset card reception night room changed card didnt work, good air-con pools look beautiful look closer, stayed club pool pool bar not say main pool quite dirty seen cleaned, turkey 11 times clean day everyday nothing like, little earwiggy things pool u lights inide pool hanging, sunloungers big group obviously earlier u better pick u want sit beach wow, best seen, clear blue water white sands shade need heaven, walked hour right beach little market good experience tiering, not buy want shopping/souveniers better going little market just outside reception, beach kept fairly clean, food drink great, not bad things say food different eat n't repetitive waiters try hardest did tip couple ones didnt friendly, drinks good choice offer absolutely horrible, restuarants boat bar fine glasses washed proper dish washer washed disinfectant dont wash drinks taste awful lot ill. told rep nothing done.entertainment entertainment, thomas cook brochure states lively hotel wouldnt english, great french animation team beach parties every1 attend french, games round bar pool, days managable bits entertainment going pool not im used turkey, night time dier, nothing bed 10 o'clock nights, kind holiday, ampithetre went probably 4 times didnt anymore night dancing shows yes 5 mins good bored, disco great u served rude people stealing drinks bartender passes 20mins queue mainly spanish music night did ask english music played 3 4 songs.. grateful, best night beach party french, begged dj 2 play english music did night, great, trips managed im glad did amazing, lazy day catamaran lazy not, tropical storm thomas cook saturday irish tour guide paddy course, trip just holiday worthwhile, shipwreck ride waves fun, listen dance, lots music biggest inflatable slide dominican lunch drinks inclusive bliss, snorkling didnt did lots bright yellow stripey fish lots blue dori finding nemo, fish, recommend trip went dominican fab definatley dominican republic probably different hotel, cheap hotel suppose worth money think pay little bit extra enjo, hope review helps,  ",0
2025-07-22 02:48:20,"good business location stayed gran melia mexico reforma 2 nights, hotel location business travel tourists hotel not walking-distance city center yuo need use taxi.the room fine clean confortable.breakfast included rate goof breakfast buffet.the hotel good rate compare international hotels mexico city not really 5 stars hotel rate/quality fine.sorry english not perfect,  ",1
2025-07-22 02:48:20,"excellent location good staff good service stayed travelodge sydney 15-24 july 2005. having read reviews website expecting told wait 2:00 pm room considering 14 hour straight flight disappointing, nice young lady reception said room second floor right away 9:00, promised change room 13th floor day exactly did, reception exactly reminiscent production line guests getting wait 5 minutes, plenty people tours chinese student groups american no problem.rooms clean not clean described reviews read, concerned things like small food particles floor stains floor bathroom usually reception let know want cleaned, disappointing thing rooms absence internet access, phone socket wall use internet card 56k, asked staff booking said internet access available rooms, remedy great internet cafe close 3 minute walk liverpool street, electronic facility think, speed not impressive acceptable, hotel location superb, literally need 15 minute walk hotel, used walk darling harbour everyday enjoyed path vibrant clean area, george street good example street great fast food included, good experience hotel stay remember practically no internet access rooms specific room cleaned ignore,  ",0
2025-07-22 02:48:20,"great hotel perfect central location just came trip san juan puerto rico, chose stay sheraton old san juan reviews site good, originally thought stay east coast glad stayed, not mention reviews sheraton properties coast terrible, location perfect want truly explore puerto rico central location easily accessible freeways tollways, easily walk forts central location, went day weekend wanted feel safe stayed, night felt completely safe leaving hotel walking streets restaurants nightclubs, walk valet turn right walk steps restaurant central, good restaurants, restaurant hotel did make visit day late lunch, menu not impressive asked waiter crab cakes said yes readily agreed make crab cake sandwich crab cakes not menu, good not gambler like casinos definitely place, night walked right night walked reminded cruise ship maybe better, slot machines black jack tables roulette tables, place packed, wo n't hear noise room.the rooms exactly hoped, stay w properties quite bit business traveler better room w properties, plus used hotel points entire stay, water hot nice shower head new rounded shower curtain rods lots counter space bathroom comfy beds nice flat screen tv plenty room, did n't bring laptop believe free wireless lobby charge use room.everybody pleasant courteous hotel, valeted car evening believe cost 18/night.if going cruise want stay night cruise definitely recommend hotel, just pier 3. driving airport 26 west old san juan veer left says convention district stay right lane, hotel couple miles right, port left possibly cruise ships, lot construction going san juan right best fastest way hotel, construction going hotel did not notice believe working rooftop terrace pool chose beaches instead pool n't know doing.all definitely stay,  ",1
2025-07-22 02:48:20,"fab stay dam just got 3 nights staying amsterdam art thoroughly loved hotel amsterdam.the hotel outskirts town best way airport train central station bus stops right outside hotel, number 48 bus got runs regularly midnight 353 night bus, ask driver stop hempoint directly opposite hotel cross dual carriageway hotel ca n't miss bright coloured cows, buses hotel regular 15 minutes peak times, got central station crossed road tourist information bought 2 48 hour amsterdam cards allow travel buses trams metro free free entry wide range musuems good value, 24 72 hours, card valid use, hotel fantastic room looked just like pictures taken reviewers, toiletries stocked day lovely shampoo, fabulously huge bed great pillows huge bath good shower, nice purple sofa, view not great cares room long hotel safe quiet place night no worries having deal drunk people, did problems key card not working 2 days just went reception dealt, 2 mugs day 1 mug hardly massive issues, did not breakfast hotel 15 euros thought bit steep went town snack places, did eat bar evening food good beware ordering burger does come rare n't ask, bottle wine 20 euros.tips- train blue seats class make sure sit green seats.if planning madame tussards dungeon tussards missed 50 dungeon.the dungeon not faint hearted tour interactive n't want spoil suprise worth penny, anne frank house great step history people read diary, booked timed tickets online avoid queues, heineken brewery good visit 3 halfs lager free gift, got number 24 tram station 16 stops just bridge ca n't miss, van gogh musuem rijksmusuem excellent morning, trams 16 24 heineken brewery follow canal right brewery- ca n't miss rijks majestic, diamond museum good canal cruise nearby, red light district did offered drugs just walking ignore unless course want, wear comfy shoes, took flip flops paid price walked 6 miles day, dutch friendly got help directions asking, loved going soon,  ",1
2025-07-22 02:48:20,"great little place reviews posted begin warm friendly helpful cooperative staff available answer innumerable questions requests, said ignore outside hotel, walk open air lobby immediately deep breath, atmostphere relaxing paradise like, adjacent lobby open air courtyard pool hot tub middle, wings hotel surround pool, yes no elevators exception dragging travel bags upstairs arriving n't really concern, concierge available time, concierge knowledgeable helpful, location great duke lane, cross street beach access cheesecake factory, great value price easily stay return honolulu,  ",1
2025-07-22 02:48:20,"poor cast won t speak speed spanish terrible english, no non smoking area room noisy work progress building nearby walls, people not really friendly, breakfast poor, not included price,  ",0
2025-07-22 02:48:20,"stay extravagent travelers need not read review delayed bit wife stayed week march 22nd 2006 oahu worst rain storm 50 years aside weather excellent time enjoyed stay celebrity resorts property.features pool spa onsite laundry coin op free coffee morning poolside activities tour desk friendly staffpros centrally located shopping close cool bars clubs, small quaint, not kids timeshare property exchanges rci available liquor store door bar kitchenette adequately equipped gas bbqs available usage excellent maid service no elevators 3 stories cons furnishings decor use update beds hard wood showers smell mold couple days musty smell hotel hallways no elevators views n't owner timeshare not happy elaborate view thing got lucky rci considered owners got room view pool area, n't fortunate look rundown apartment complexes door nohonani ave not bad does n't ring vacation look window, need visual stimulation, pool area view scenery somewaht pleasant.the rooms old hawaiian seafoam green carpet overstayed welcome probably update, snack machine available, no restaurant site, delivery services available rooms come ton restaurant flyers order from.our room equipped safe ironing board pullout sofa tv w/ cable alarm clock mini fridge kitchenette w/ cookware place settings 4.i probably stay choice like time, travel hawaii 5 6 times year good spot looking save dollars.the best place probably friendly staff location, great spot want center money,  ",0
